observed_on,user_name,url,latitude,longitude,private_latitude,private_longitude,place_county_name,place_state_name,scientific_name,common_name,taxon_order_name,taxon_suborder_name,taxon_family_name,taxon_genus_name,taxon_species_name,field:2x4 odonate survey unit,field:count,,,,
2025-02-05,,https://www.inaturalist.org/observations/260856849,35.7306289,-82.59528195,,,Buncombe,North Carolina,Calopteryx maculata,Ebony Jewelwing,Odonata,Zygoptera,Calopterygidae,Calopteryx,Calopteryx maculata,24Flatcreek02/05/25-1,3,,,35.94747109,-82.895674
2025-03-18,,https://www.inaturalist.org/observations/265902987,35.89428317,-82.82277346,,,Madison,North Carolina,Calopteryx maculata,Ebony Jewelwing,Odonata,Zygoptera,Calopterygidae,Calopteryx,Calopteryx maculata,,1,,,35.94748027,-82.8955607
2025-07-13,,https://www.inaturalist.org/observations/297778513,35.90961692,-82.52798526,,,Madison,North Carolina,Calopteryx maculata,Ebony Jewelwing,Odonata,Zygoptera,Calopterygidae,Calopteryx,Calopteryx maculata,24WL07/11/25-1,1,,,35.94746747,-82.89552645
2025-07-13,,https://www.inaturalist.org/observations/297778515,35.91263273,-82.54659838,,,Madison,North Carolina,Calopteryx maculata,Ebony Jewelwing,Odonata,Zygoptera,Calopterygidae,Calopteryx,Calopteryx maculata,24PF07/11/25-1,0,,,35.94745931,-82.89562289
2023-12-18,,https://www.inaturalist.org/observations/194318478,35.91979765,-82.85917667,,,Madison,North Carolina,Dromogomphus spinosus,Black-shouldered Spinyleg,Odonata,Anisoptera,Gomphidae,Dromogomphus,Dromogomphus spinosus,,1,,,35.94747757,-82.89561227
2021-11-30,,https://www.inaturalist.org/observations/103500630,35.92478949,-82.86242656,,,Madison,North Carolina,Gomphurus vastus,Cobra Clubtail,Odonata,Anisoptera,Gomphidae,Gomphurus,Gomphurus vastus,,1,,,35.94699183,-82.89624243
2025-08-09,,https://www.inaturalist.org/observations/305103994,35.92357574,-82.85924711,,,Madison,North Carolina,Gomphurus vastus,Cobra Clubtail,Odonata,Anisoptera,Gomphidae,Gomphurus,Gomphurus vastus,,1,,,35.94712049,-82.89596196
2022-03-24,,https://www.inaturalist.org/observations/109418329,35.88914167,-82.82771333,,,Madison,North Carolina,Hagenius brevistylus,Dragonhunter,Odonata,Anisoptera,Gomphidae,Hagenius,Hagenius brevistylus,,1,,,35.97429904,-82.84931698
2023-02-10,,https://www.inaturalist.org/observations/148510357,35.79183056,-82.53932222,,,Buncombe,North Carolina,Hagenius brevistylus,Dragonhunter,Odonata,Anisoptera,Gomphidae,Hagenius,Hagenius brevistylus,,1,,,35.97338743,-82.85594811
2023-04-06,,https://www.inaturalist.org/observations/154043461,35.94783,-82.89523333,,,Greene,Tennessee,Hagenius brevistylus,Dragonhunter,Odonata,Anisoptera,Gomphidae,Hagenius,Hagenius brevistylus,,1,,,35.94752213,-82.89499286
2023-04-24,,https://www.inaturalist.org/observations/160178829,35.94751167,-82.89506333,,,Greene,Tennessee,Hagenius brevistylus,Dragonhunter,Odonata,Anisoptera,Gomphidae,Hagenius,Hagenius brevistylus,,1,,,35.88917029,-82.82799606
2024-12-22,,https://www.inaturalist.org/observations/256043056,35.894804,-82.82294285,,,Madison,North Carolina,Hagenius brevistylus,Dragonhunter,Odonata,Anisoptera,Gomphidae,Hagenius,Hagenius brevistylus,,1,,,35.94743833,-82.89530759
2025-01-28,,https://www.inaturalist.org/observations/260102895,35.72409966,-82.60044679,,,Buncombe,North Carolina,Hagenius brevistylus,Dragonhunter,Odonata,Anisoptera,Gomphidae,Hagenius,Hagenius brevistylus,24Flatcreek01/28/25-2,1,,,35.8401843,-82.71413143
2025-03-12,,https://www.inaturalist.org/observations/265112407,35.94750376,-82.89566761,,,Greene,Tennessee,Hagenius brevistylus,Dragonhunter,Odonata,Anisoptera,Gomphidae,Hagenius,Hagenius brevistylus,24PC03/09/25-1,1,,,35.73042261,-82.59543787
2025-03-24,,https://www.inaturalist.org/observations/268161646,35.72276056,-82.60157447,,,Buncombe,North Carolina,Hagenius brevistylus,Dragonhunter,Odonata,Anisoptera,Gomphidae,Hagenius,Hagenius brevistylus,24Flatcreek03/24/25-1,1,,,35.840208,-82.714021
2025-06-11,,https://www.inaturalist.org/observations/290502623,35.9547067,-82.7071451,,,Madison,North Carolina,Hagenius brevistylus,Dragonhunter,Odonata,Anisoptera,Gomphidae,Hagenius,Hagenius brevistylus,,1,,,35.95499601,-82.70579906
2025-06-15,,https://www.inaturalist.org/observations/289987417,35.9547817,-82.70584345,,,Madison,North Carolina,Hagenius brevistylus,Dragonhunter,Odonata,Anisoptera,Gomphidae,Hagenius,Hagenius brevistylus,24LCC06/06/25-2,2,,,35.95497999,-82.70576336
2025-07-17,,https://www.inaturalist.org/observations/298812491,35.50017922,-82.60020994,,,Buncombe,North Carolina,Hagenius brevistylus,Dragonhunter,Odonata,Anisoptera,Gomphidae,Hagenius,Hagenius brevistylus,24BC07/16/25-1,5,,,35.91842189,-80.54793213
2021-11-10,,https://www.inaturalist.org/observations/102643391,35.94656921,-82.89721987,,,Greene,Tennessee,Helocordulia uhleri,Uhler's Sundragon,Odonata,Anisoptera,Corduliidae,Helocordulia,Helocordulia uhleri,,1,,,35.730611,-82.595307
2025-03-12,,https://www.inaturalist.org/observations/265113158,35.9241378,-82.85999357,,,Madison,North Carolina,Hetaerina americana,American Rubyspot,Odonata,Zygoptera,Calopterygidae,Hetaerina,Hetaerina americana,24FB03/09/25-1,1,,,35.73063807,-82.59536214
2023-02-04,,https://www.inaturalist.org/observations/148068284,35.94745136,-82.89565572,,,Greene,Tennessee,Hylogomphus adelphus,Mustached Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus adelphus,,1,,,35.95471133,-82.70599559
2023-02-13,,https://www.inaturalist.org/observations/148731513,35.6484425,-82.46854245,35.79195484,-82.53954172,Madison,North Carolina,Hylogomphus adelphus,Mustached Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus adelphus,,1,,,35.84023667,-82.71380654
2023-02-28,,https://www.inaturalist.org/observations/150029648,35.69130619,-82.55535385,35.79121605,-82.53875101,Buncombe,North Carolina,Hylogomphus adelphus,Mustached Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus adelphus,,1,,,35.84024277,-82.71378911
2023-03-10,,https://www.inaturalist.org/observations/151094035,35.81446083,-82.63032391,35.90855929,-82.76092624,Madison,North Carolina,Hylogomphus adelphus,Mustached Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus adelphus,,1,,,35.95564128,-82.70486786
2023-04-19,,https://www.inaturalist.org/observations/155689611,35.94129657,-82.6840207,35.90820622,-82.7597103,Madison,North Carolina,Hylogomphus adelphus,Mustached Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus adelphus,,1,,,35.95409539,-82.70785988
2023-04-19,,https://www.inaturalist.org/observations/155689612,35.89780578,-82.67625999,35.90818461,-82.75967878,Madison,North Carolina,Hylogomphus adelphus,Mustached Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus adelphus,,1,,,35.95467356,-82.70603792
2023-10-15,,https://www.inaturalist.org/observations/187669451,35.93734679,-82.99905177,35.88978741,-82.82852709,Madison,North Carolina,Hylogomphus adelphus,Mustached Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus adelphus,,1,,,35.95474045,-82.7060017
2023-10-28,,https://www.inaturalist.org/observations/189300570,36.0852349,-82.28693909,36.02550098,-82.32816416,Yancey,North Carolina,Hylogomphus adelphus,Mustached Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus adelphus,,1,,,35.95676348,-82.88450907
2024-02-06,,https://www.inaturalist.org/observations/198612978,35.87269388,-82.85601662,35.94740709,-82.89573305,Greene,Tennessee,Hylogomphus adelphus,Mustached Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus adelphus,,1,,,35.9255639,-82.88040539
2024-12-22,,https://www.inaturalist.org/observations/255924639,35.87654871,-82.90305088,35.89476266,-82.82288104,Madison,North Carolina,Hylogomphus adelphus,Mustached Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus adelphus,,1,,,35.92480172,-82.86195429
2022-02-13,,https://www.inaturalist.org/observations/106718225,35.94857662,-82.89227647,,,Greene,Tennessee,Hylogomphus parvidens,Piedmont Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus parvidens,,1,,,35.719614,-82.712983
2022-12-20,,https://www.inaturalist.org/observations/144763710,35.9657299,-82.86439622,,,Greene,Tennessee,Hylogomphus parvidens,Piedmont Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus parvidens,,1,,,35.97186,-81.242583
2023-02-04,,https://www.inaturalist.org/observations/148068286,35.94745334,-82.89563503,,,Greene,Tennessee,Hylogomphus parvidens,Piedmont Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus parvidens,,1,,,35.918317,-80.54759
2023-03-01,,https://www.inaturalist.org/observations/150029649,35.6630259,-82.44918634,35.79128627,-82.53867791,Buncombe,North Carolina,Hylogomphus parvidens,Piedmont Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus parvidens,,1,,,35.72409966,-82.60044679
2023-04-10,,https://www.inaturalist.org/observations/154908793,35.94051291,-82.80230663,35.94748021,-82.89549654,Greene,Tennessee,Hylogomphus parvidens,Piedmont Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus parvidens,,1,,,35.73054672,-82.59543916
2024-03-20,,https://www.inaturalist.org/observations/203642967,35.80171828,-82.80321836,35.91762596,-82.85300954,Madison,North Carolina,Hylogomphus parvidens,Piedmont Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus parvidens,,1,,,35.73052346,-82.59540672
2024-03-23,,https://www.inaturalist.org/observations/203642966,35.87074057,-82.95832001,35.91766392,-82.85303332,Madison,North Carolina,Hylogomphus parvidens,Piedmont Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus parvidens,,1,,,35.84021769,-82.71416387
2024-04-15,,https://www.inaturalist.org/observations/207490289,36.07574228,-82.76415175,,,Greene,Tennessee,Hylogomphus parvidens,Piedmont Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus parvidens,,1,,,35.9547067,-82.7071451
2024-07-16,,https://www.inaturalist.org/observations/229797035,35.90145911,-82.79865651,35.95429254,-82.70662518,Madison,North Carolina,Hylogomphus parvidens,Piedmont Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus parvidens,,1,,,35.88123873,-82.83441564
2024-07-17,,https://www.inaturalist.org/observations/229940449,35.92551227,-82.63032438,,,Madison,North Carolina,Hylogomphus parvidens,Piedmont Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus parvidens,,1,,,35.90140278,-82.82819444
2025-01-28,,https://www.inaturalist.org/observations/259922852,35.77092753,-82.41620833,35.72498861,-82.59981275,Buncombe,North Carolina,Hylogomphus parvidens,Piedmont Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus parvidens,24Flatcreek01/28/25-1,1,,,35.90811854,-82.76209276
2025-01-29,,https://www.inaturalist.org/observations/260216052,35.62595287,-82.56338192,35.79218008,-82.5391476,Madison,North Carolina,Hylogomphus parvidens,Piedmont Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus parvidens,24Ivyriver01/29/25-2,3,,,35.94745735,-82.89505382
2025-02-05,,https://www.inaturalist.org/observations/260856846,35.60918421,-82.52412752,35.7306289,-82.59528195,Buncombe,North Carolina,Hylogomphus parvidens,Piedmont Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus parvidens,24Flatcreek02/05/25-1,3,,,35.94736969,-82.89570237
2025-02-10,,https://www.inaturalist.org/observations/261307974,35.63541952,-82.53028331,35.73059891,-82.59537732,Buncombe,North Carolina,Hylogomphus parvidens,Piedmont Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus parvidens,,1,,,35.95479626,-82.70588489
2025-02-10,,https://www.inaturalist.org/observations/261307975,35.63574068,-82.59737416,35.73067399,-82.59537262,Buncombe,North Carolina,Hylogomphus parvidens,Piedmont Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus parvidens,,1,,,35.95506736,-82.70565324
2025-03-24,,https://www.inaturalist.org/observations/268161649,35.78654977,-82.60847052,,,Buncombe,North Carolina,Hylogomphus parvidens,Piedmont Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus parvidens,24Flatcreek03/24/25-1,2,,,35.95521003,-82.70529975
2025-06-11,,https://www.inaturalist.org/observations/290490237,35.96169518,-82.71648648,35.95510283,-82.70568325,Madison,North Carolina,Hylogomphus parvidens,Piedmont Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus parvidens,24WD06/11/25-2,1,,,35.90141944,-82.82831389
2022-01-22,,https://www.inaturalist.org/observations/105409339,35.96954692,-82.85394255,35.92884743,-82.88117601,Madison,North Carolina,Hylogomphus viridifrons,Green-faced Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus viridifrons,,1,,,35.90847071,-82.76131863
2022-12-18,,https://www.inaturalist.org/observations/144632333,35.89253091,-82.80355713,35.924843,-82.86673075,Madison,North Carolina,Hylogomphus viridifrons,Green-faced Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus viridifrons,,1,,,35.88940382,-82.82831134
2023-11-09,,https://www.inaturalist.org/observations/191135695,35.8123763,-82.9876988,35.91983472,-82.85916771,Madison,North Carolina,Hylogomphus viridifrons,Green-faced Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus viridifrons,,1,,,35.95677178,-82.88445896
2023-11-10,,https://www.inaturalist.org/observations/191135694,35.98448746,-82.83933555,35.91972261,-82.85918322,Madison,North Carolina,Hylogomphus viridifrons,Green-faced Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus viridifrons,,1,,,35.95654987,-82.88549169
2024-03-29,,https://www.inaturalist.org/observations/204817593,35.87505364,-82.91465646,35.91645355,-82.85154675,Madison,North Carolina,Hylogomphus viridifrons,Green-faced Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus viridifrons,,1,,,35.9565222,-82.88571127
2025-03-09,,https://www.inaturalist.org/observations/264882421,35.90588753,-82.84330007,35.92374574,-82.85942818,Madison,North Carolina,Hylogomphus viridifrons,Green-faced Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus viridifrons,24FB03/09/25-1,2,,,35.90139722,-82.82816944
2025-04-15,,https://www.inaturalist.org/observations/270738146,35.91577723,-82.89749234,35.923894,-82.85991342,Madison,North Carolina,Hylogomphus viridifrons,Green-faced Clubtail,Odonata,Anisoptera,Gomphidae,Hylogomphus,Hylogomphus viridifrons,,4,,,35.92886569,-82.88082054
2021-12-13,,https://www.inaturalist.org/observations/103123885,35.93317781,-82.88380138,,,Madison,North Carolina,Lanthus vernalis,Southern Pygmy Clubtail,Odonata,Anisoptera,Gomphidae,Lanthus,Lanthus vernalis,,1,,,35.92882152,-82.88076203
2025-01-29,,https://www.inaturalist.org/observations/260111600,35.79204084,-82.53927634,,,Madison,North Carolina,Lanthus vernalis,Southern Pygmy Clubtail,Odonata,Anisoptera,Gomphidae,Lanthus,Lanthus vernalis,24Ivyriver01/29/25-1,1,,,35.76162499,-82.98470868
2025-07-13,,https://www.inaturalist.org/observations/297778507,35.90960671,-82.52797537,,,Madison,North Carolina,Lanthus vernalis,Southern Pygmy Clubtail,Odonata,Anisoptera,Gomphidae,Lanthus,Lanthus vernalis,24WL07/11/25-1,1,,,35.92608949,-82.94689683
2025-07-13,,https://www.inaturalist.org/observations/297778509,35.90960932,-82.52796498,,,Madison,North Carolina,Lanthus vernalis,Southern Pygmy Clubtail,Odonata,Anisoptera,Gomphidae,Lanthus,Lanthus vernalis,24WL07/11/25-1,1,,,35.95493801,-82.70577442
2023-04-06,,https://www.inaturalist.org/observations/153879605,35.89331433,-82.8696967,35.94751121,-82.89523181,Greene,Tennessee,Macromia alleghaniensis,Allegheny River Cruiser,Odonata,Anisoptera,Macromiidae,Macromia,Macromia alleghaniensis,,1,,,35.73278889,-82.61746111
2023-04-07,,https://www.inaturalist.org/observations/154033133,35.8464717,-82.89247869,35.94751247,-82.89517052,Greene,Tennessee,Macromia alleghaniensis,Allegheny River Cruiser,Odonata,Anisoptera,Macromiidae,Macromia,Macromia alleghaniensis,,1,,,35.73064716,-82.59542574
2023-04-07,,https://www.inaturalist.org/observations/154033135,35.94750461,-82.89512022,,,Greene,Tennessee,Macromia alleghaniensis,Allegheny River Cruiser,Odonata,Anisoptera,Macromiidae,Macromia,Macromia alleghaniensis,,1,,,35.95510342,-82.70547173
2023-04-10,,https://www.inaturalist.org/observations/154905210,35.89096909,-82.91340515,35.94748875,-82.89514517,Greene,Tennessee,Macromia alleghaniensis,Allegheny River Cruiser,Odonata,Anisoptera,Macromiidae,Macromia,Macromia alleghaniensis,,1,,,35.840162,-82.71378483
2023-04-10,,https://www.inaturalist.org/observations/154905892,35.97683758,-82.99026579,35.9474888,-82.8951858,Greene,Tennessee,Macromia alleghaniensis,Allegheny River Cruiser,Odonata,Anisoptera,Macromiidae,Macromia,Macromia alleghaniensis,,1,,,35.95430689,-82.7063891
2023-04-10,,https://www.inaturalist.org/observations/154906744,35.89688787,-82.96544749,35.94749837,-82.89524324,Greene,Tennessee,Macromia alleghaniensis,Allegheny River Cruiser,Odonata,Anisoptera,Macromiidae,Macromia,Macromia alleghaniensis,,1,,,35.95410665,-82.70662072
